и,and
мысль (f),thought
гость (m),guest
старший,"elder, senior"
вид,"view, look; species"
среди (+g),among
случай,"case, occurrence, chance"
народный,people’s
помнить/вс- (+a/о +pr),to remember
просить/по- (+a +inf),"to request, ask (s.o. to do sth)"
пусть,let
разговор,conversation
двор,"yard, court"
долго,for a long time
месяц,month; moon
возвращаться/вернуться,to come back
союз,union
война,war
хотя,although
берег,"bank, shore"
целый,whole
группа,group
скоро,soon
студент,student
товарищ,comrade
часть (f),part
спать/по-,to sleep
полный,full
сюда,here (hither)
приезжать/приехать,to arrive (by transport)
оно,it
женщина,woman
собрание,"meeting, collection"
подходить/подойти (к +d),to approach; (+d) to suit
дерево (pl деревья),tree
сад,garden
чуть,"hardly, just"
бояться (i) (+g),"to fear, be afraid"
заниматься (i) (+inst),to occupy oneself
папа (m),dad; Pope
помощь (f),help
прошлый,past
прямо,"directly, straight"
лучший,better; best
мастер,master
секретарь (m),secretary
стена,wall
оказываться/оказаться (+inst),to turn out (to be); to find oneself
сын (pl сыновья),son
брат,brother
зачем,"why, for what"
играть/сыграть,to play
институт,institute; institution
пятый,fifth
раньше,earlier
тихо,quiet
чёрный,black
великий,great
завтра,tomorrow
широкий,wide
мало (+g),few; not much
наконец,in the end
плечо,shoulder
разве,really
разве… не,surely
снег,snow
будущий,future (adj)
сердце,heart
трудно,(it is) difficult
язык,language; tongue
приходить/прийти,to arrive (on foot)
русский,Russian; a Russian
недавно,recently
советский,Soviet (adj)
некоторый,"some, a certain"
продолжать/продолжить,to continue
член,member
поэтому,consequently
замечать/заметить (+a),to notice
квартира,"flat, apartment"
уметь/с- (+inf),"to know how to; be able to, manage to"
свет,light; world
назад,"back, ago"
школьник,schoolboy
домой,"home, homewards"
право,right; law
сильный,"strong, powerful"
средний,middle; average
дальше,further
задача,"task, problem"
бежать/по-,to run
ветер,wind
помогать/помочь (+d),to help (s.o.)
словно,as if
дорогой,"dear, expensive"
история,history; story
молчать/за-,to be silent; p: to fall silent
солнце,sun
дома,at home
море,sea
огромный,enormous
ученик,pupil
чувство,feeling
петь/с- (+a),to sing
борьба,struggle
речь (f),speech
ехать/по-,to go (by transport)
хлеб,bread
движение,"movement, motion"
праздник,"holiday, festival"
внимание,attention
считать/счесть,(+a +inst) consider (sth/s.o. to be sth) 
считать/со-,to count
иногда,sometimes
кричать/за-,to shout
фабрика,factory
успевать/успеть (+inf),"to have time, to be in time"
действительно,"really, actually"
именно,"namely, exactly"
общий,general (adj)
всякий,any
директор,director
красивый,beautiful
номер,number; hotel room
около (+g),near; about
парень (m),"lad, boy"
хозяйство,economy
вокруг (+g),around
душа,soul
четвёртый,fourth
шесть,six
поднимать/поднять (+a),"to raise, lift"
взгляд,"look, view"
инженер,engineer
также,as well
тяжёлый,heavy
цветок (pl цветы),flower
брать/взять (+a),to take
видно,"evident, visible"
воздух,air
давно,(since) long ago
забывать/забыть (+a or o +pr),to forget
из-за (+g),from behind; because of
опыт,experience; experiment
звать/по- (+a),to call (s.o.); summon
стройка,building; building site
жена,wife
молоко,milk
ставить/по- (+a),"to place, put (in a standing position)"
однако,however
угол,corner
бумага,paper
принимать/принять (+a),"to take, accept, receive"
длинный,long
занятие,occupation; (pl) classes
чистый,"clean, pure"
садиться/сесть,to sit down; get into (transport)
часто,often
шестой,sixth
военный,"military, war (adj); soldier"
вставать/встать,"to get up, stand up"
игра,game
кружок,"circle, club"
хозяин (pl хозяева),"master, boss, owner"
никакой,(absolutely) no
дядя (m),uncle
живой,"alive, lively"
деревня,village; countryside
образ,"manner, way, shape, image"
порядок,order
строитель (m),"construction worker, builder"
успех,success
приносить/принести (+a),to bring
слишком,"too, too much"
добрый,"good, kind"
прежде,before
рассказ,story
семья,family
утро,morning
лагерь (m),camp
знакомый,familiar; an acquaintance
армия,army
нос,nose
пожалуйста,"please, please do; don’t mention it"
собираться/собраться (+inf),to gather; intend to; be about to
сначала,at first; from the beginning
техника,technology
деньги (f) (pl),money
доклад,report
оба (f обе),both
седьмой,seventh
поздно,late
попадать/попасть (в/на +a),to hit; to get to
встреча,meeting
возможность (f),possibility
культура,culture
следовать/по-,to follow (+d); to be required
команда,"team, crew; command"
ну,well
очередь (f),"queue, turn"
личный,personal
школа,school
расти/вы-,to grow
колхоз,collective farm
причина,"reason (+g for), cause"
ребята,"children, boys (coll)"
девочка,little girl
многий,many
организация,organization
мама,mother; mummy
станция,station
туда,there (thither)
уж/уже,already; really
совершенно,"completely, perfectly"
спокойно,"calmly, quietly"
хотеться/за- (+d),"to want, feel like; p: to start to want"
всё-таки,"all the same, for all that"
чем,than
будто,"as though, allegedly"
мнение,opinion
впервые,for the first time
любой,any (any you like)
медленно,slowly
друг друга,each other
приходиться/прийтись (+d),to have to
начало,beginning
похожий,"resembling, similar"
зал,hall
держать (i),"to hold, keep"
предприятие,"enterprise, factory"
спортивный,sporting
весёлый,"cheerful, merry"
здравствовать (i),"to be healthy, prosper"
Здравствуй(те),Hello/How are you?
вперёд,forward; in advance
зелёный,green
нёбо,"sky, heaven"
встречать/встретить (+a),to meet
отношение (к +d),"attitude, relation (to); (pl) relations"
бабушка,grandmother
детский,children’s
останавливаться/остановиться,to stop
ответ,answer
восемь,eight
доска,board
появляться/появиться,to appear
неделя,week
завод,factory
форма,form
являться (i) (+inst),to be (sth) (formal)
вещь (f),thing
герой,hero
кроме (+g),"except, besides"
подниматься/подняться,"to rise, climb"
съезд,congress
точно,exactly; punctually
ход,movement
равно,"equal, alike (adv)"
шаг,step
клуб,club
крупный,"large, important"
вспоминать/вспомнить (+a or о +pr),"to remember, recall"
небольшой,small
художественный,artistic
кто-то,someone
нравиться/по- (+d),to please (s. o.)
школьный,school (adj)
государство,state
американский,American
строить/по- (+a),to build
восьмой,eighth
немного (+g),"a little, not much"
пауза,pause
показывать/показать (+a +d),to show (sth to s.o.)
далеко,far
затем,"after that, then"
здание,building
однажды,"once, one day"
птица,bird
самолёт,aeroplane
семь,seven
шофёр,driver
двести,two hundred
известный,well-known
правильно,correctly
решение,decision; solution
вечером,in the evening
готовый,ready
стараться/по- (+inf),to try
например,for example
простой,simple
произведение,a work
учить/вы- (+a),to learn (sth)
учить/на- (+а +d),to teach (s.o. sth)
иной,other
результат,result
доктор,doctor
случаться/случиться,to happen
называть/назвать (+a +inst),"to call, name (s.o. sth)"
важный,important
знание,knowledge
улыбаться/улыбнуться (+d),to smile (at)
плохо,badly
учиться/на- (+inf),to learn (to do sth)
открывать/открыть (+a),to open; to discover
оставаться/остаться,to stay
наука,science; scholarship
камень (m),stone
против (+g),against; opposite
развитие,development
бог,God
общество,society
ничего,"nothing; all right, not too bad; never mind"
условие,condition
господин (pl господа),gentleman; Mr
солдат,soldier
революция,revolution
начинаться/начаться,to begin
область (f),"oblast, province; area, field (of activity)"
что-то,"something; (coll) somewhat, somehow"
власть (f),power
судьба,fate
действие,"act, action"
мера,measure
энергия,energy
ряд,"row, line, series"
находиться/найтись,"to be situated; to be found, turn up"
положение,position
глядеть/по- (на +a),to look (at)
век,"century; age, era"
миллион,million
общественный,"social, public"
основной,"basic, fundamental"
генерал,general (noun)
интерес,interest
легко,easily; it is easy
материал,material
цель (f),"target, purpose"
огонь (m),fire; light
закон,law
природа,nature
масса,mass
бой,battle
политический,political
луч,"ray, beam"
волна,wave
процесс,"process; trial, lawsuit"
научный,"scientific, scholarly"
различный,"different, various"
мировой,world (adj)
система,system
лист,leaf (of plant); sheet (of paper)
хоть,"even if, if only, even, although"
ребёнок,child
связь (f),"connection, link, communication"
вообще,in general
верить/по-,"to believe (+d) s.o. or sth, (в +a ) in s.o. or sth"
мужчина (m),man
что-нибудь,anything
представлять/представить (+a),"to present, introduce"
искать/по- (+a or +g),"to search for, to look for"
писатель (m),writer
промышленность (f),industry
учёный (m) (adj),"learned, scholarly; (as noun) scholar, scientist"
верно,"faithfully, truly; it is true"
служить/по-,to serve
правительство,government
экономический,economic
есть/съ- (+a),to eat
рабочий (m) (adj),(blue collar) worker; working
современный,"modern, contemporary"
работник,"worker, s.o. who works"
чёрт,devil
качество,quality
международный,international
офицер,officer
проблема,problem
требовать/по- (+g),to demand
коммунизм,communism
корабль (m),ship
класс,class; classroom
километр,kilometre
число,number; date
база,base; depot
палец,finger; toe
количество,quantity
коммунист,communist
победа,victory
река,river
пить/вы- (+a or +g),"to drink, have an alcoholic drink"
человеческий,human (adj)
гора,"mountain, hill"
милый,"nice, dear"
политика (no pl),"politics; policy, policies"
производство,production
национальный,national; ethnic
холодный,cold
государственный,state (adj)
откуда,from where
сложный,"complicated, complex"
богатый,rich
бросать/бросить (+a),"to throw; abandon, give up"
строительство,construction
значение,"meaning, importance"
председатель (m),chairman
характер,character
необходимый,essential
смеяться/за-/рас- (над +inst),to laugh (at)
бороться (i) (с +inst),to struggle (against)
изделие,(manufactured) article
особый,special
смерть (f),death
статья,"article (newspaper, journal)"
счёт,"bill, account; count, score"
весьма,"very, extremely"
сельский,"rural, country"
средство,means; (pl) resources
подобный,similar
пример,example
революционный,revolutionary
скорость (f),speed
факт,fact
малый,small
чай,tea
тёмный,dark
явление,phenomenon
состоять (i) (из +g),to consist (of)
ясно,clearly; it is clear
точка,"dot, point; full stop"
стоить (i),"to cost, to be worth"
ум,"mind, intellect"
вполне,"fully, entirely"
событие,event
существовать (i),to exist
кабинет,"study, office"
спасибо,thank you
враг,enemy
глубокий,deep
французский,French (adj)
близкий,"close, near"
ах,"ah!, oh!"
деятельность (f),activity
приводить/привести (+a),to bring (s.o.); (к +d) lead to
трубка,"tube, pipe; telephone receiver"
английский,English; British (adj)
сей ,this (=этот) (bookish; used in set phrases)
температура,temperature
состояние,"state, condition; fortune"
счастье,"happiness, luck"
смысл,"sense, meaning"
рубль (m),rouble
вчера,yesterday
правый,right; right-wing
автор,author
большинство,majority
известно,it is (well) known
мелкий,"small, petty, fine"
течение,"flow, current; course"
оружие,"arms, weapons"
муж,husband
происходить/произойти,to happen; to originate
свободный,free
идея,idea
усилие,effort
линия,line
искусство,art
состав,"composition, make-up"
капитализм,capitalism
литература,literature
страница,page
бить/по- (+a),"to beat, hit"
иначе,otherwise
читатель (m),reader
наиболее,(the) most
рост,"growth, increase; height"
американец,American (noun)
корень (m),root
немец,German (noun)
небо,serious
свойство,"characteristic, property"
взглядывать/взглянуть (на +a),"to look, glance (at)"
высоко,high (up); highly; it is high
население,population
стекло,glass (material)
театр,theatre
надежда,hope
довольно,"fairly, rather; contentedly; (+g) enough"
край,"edge; region, area"
мужик,(Russian) peasant
степь (f),steppe
цвет,colour; blossom; prime
дед,grandfather
основа,"base, foundation"
рано,early; it is early
технический,technical; engineering
счастливый,"happy, lucky"
круг,circle
момент,moment; feature (of a situation)
необходимо,it is essential; it is necessary
строй,"system, structure; military formation"
дочь (f),daughter
использовать (i/p) (+a),to make use of
министр,minister (government)
синий,dark blue
передавать/передать (+a),"to pass, hand over; transmit, convey"
программа,programme
десяток,ten; a decade
кровь (f),blood
отдавать/отдать (+a),to give back; to give away; to return
отдельный,"separate, individual"
свобода,freedom
хватать/хватить (+g),"(3rd pers +g) to be enough, suffice"
внутренний,"inner, interior, internal"
выступать/выступить,to appear in public; protrude; to speak (publicly)
как-то,"somehow; (coll) once, at one time"
занимать/занять (+a),to occupy
представитель (m),representative
фронт,front (war)
богатство,"wealth, riches"
желать/по- (+g),"to want, wish (for)"
какой-нибудь,any; any kind of
глубина,depth
мимо (+g),past
управление,management; administration; control
слава,"glory, fame"
сотня,a hundred
страшный,"terrible, dreadful"
тем,(by) so much
весна,spring (season)
действовать/по-,"to act, function, affect"
пол,floor; sex
процент,"percent, percentage"
родина,"homeland, native land"
сцена,stage (theatre); scene
значительный,significant
метр,metre (measurement)
чужой,someone else’s; foreign
воля,"will; freedom, liberty"
зуб,tooth
менее,less
метод,method
прощать/простить (+a),"to forgive (s.o. or sth), pardon"
связывать/связать (+a),"to tie; to connect, bind"
яркий,bright
песок,sand
уровень (m),level; standard
исторический,historical; historic
источник,source
половина,half
служба,service
ладно,harmoniously; all right (unenthusiastic agreement)
мешать/по- (+d),"to disturb, hinder, prevent; (+a) stir"
село,village
впрочем,"however, but; or rather"
горячий,hot
образование,education; formation
тонна,"ton (1,000 kilogrammes)"
вызывать/вызвать (+a),to summon; cause
зрение,"eyesight, vision"
морской,"sea, marine; naval"
остальной,the rest (of)
семя (n),seed
сильно,strongly; very much
тонкий,"thin, slender; fine, subtle"
флот,fleet
беседа,"talk, discussion"
данный,given
достаточно,sufficiently; (+g) enough
единственный,"only, sole"
лампа,lamp
продукция,"production, output"
центр,centre
вовсе,at all
западный,western
корреспондент,correspondent
пожалуй,very probably
приём,"reception; method, device"
прочий,other
страшно,terribly; it is terrible
возле (+g),"by, near"
вон,"out, away; over there"
партийный,party (adj)
телефон,telephone
удаваться/удаться (+d),to succeed
быстрый,"quick, fast"
крестьянин,peasant
выход,"exit, way out"
пытаться/по- (+inf),to attempt
стих,line of poetry
период,period
убивать/убить (+a),to kill; to murder
дружба,friendship
едва,"hardly, scarcely, only just"
неужели,really? is it possible?
степень (f),"degree, extent"
боевой,"fighting, battle"
"войска (n, pl)","troops, army"
карта,"map, card"
направление,direction
человечество,mankind
вроде (+g),"like, such as"
громадный,enormous
лёгкий,"light, easy"
пользоваться/вос- (+inst),"to use, make use of"
предложение,"offer, suggestion; sentence (grammar)"
элемент,element
являться/явиться,to appear
вероятно,probably
печь/ис- (+a),to bake
печь (f),stove
казаться/по-,"to seem, to appear, to show oneself"
умный,intelligent
глава,"head, chief; chapter"
плакать/за-,"to cry, weep, p: to begin to cry"
сквозь (+a),through
способ,"way, method"
способный,"able, capable"
церковь (f),church
"часы (m, pl)","watch, clock"
честь (f),honour
открытый,open (adj)
память (f),memory
понятно,understandably; I see! I understand!
совещание,"meeting, conference"
замечательный,"remarkable, splendid"
знаменитый,famous
предмет,"object, article; subject, topic"
слеза,tear
где-то,somewhere
дно,"bottom (of sea, river, well, vessel)"
магазин,"shop, store"
вещество́,"substance, matter"
создание,creation; creature
старуха,old woman
карман,pocket
музей,museum
падать/пасть,to fall
ясный,clear
поверхность (f),surface
близко,"it is near, it is not far; near, close; closely"
заявлять/заявить (о +pr),to announce
золотой,"gold, golden"
колено,knee
равный,equal (adj)
следующий,"following, next"
снимать/снять (+a),to take off; photograph; rent
страх,fear
тёплый,warm
высота,height
музыка,music
остров,island
относиться/отнестись (к +d),"to relate to; to regard, treat"
переставать/перестать (+inf),"to cease, stop"
столь,so
мирный,"peace, peaceful"
трудный,difficult
долгий,long (in time)
железный,iron (adj)
прямой,"straight, direct"
социальный,social
волос,(a) hair
воспитание,upbringing
дитя (n),child
покупать/купить (+a),to buy
луна,moon
пускать/пустить (+a),to allow; let in; let go
вместо (+g),instead of
несмотря (на +a),in spite of
кулак,fist; kulak (rich peasant)
кухня,kitchen
любовь (f),love
рисунок,drawing
слой,"layer, stratum"
тема,"subject, topic, theme"
цена,price
конь (m),horse
материальный,material (adj)
теория,theory
баба,"peasant woman; (coll) old woman, woman"
терять/по- (+a),to lose
прекрасный,"beautiful, fine"
род,"family, kin; birth, origin; sort, kind; gender"
голубой,light blue
господь (m),"God, the Lord"
губа,lip
посылать/послать (+a),to send
руководитель (m),"leader, manager; instructor, supervisor"
специальный,special
тётя,aunt
центральный,central
всего,"in all, altogether; only"
вывод,"conclusion, deduction"
выполнять/выполнить (+a),"to carry out, fulfil"
зерно,"grain, seed"
молодёжь (f),young people
эх,"eh! oh! (expressing regret, annoyance, reproach, amazement)"
возможно,possibly; possible; it is possible
глубоко,"deep; deeply, it is deep"
добиваться/добиться (+g),"to obtain, achieve; to strive for; to get"
местный,local
растение,plant
старик,old man
поход,"campaign; walking tour, expedition; cruise"
спина,back [noun]
судить (i/p) (о +pr),to judge; (+a) try (s.o.)
умирать/умереть,to die
экономика,economics; economy
больной,"ill; sore; (as noun) patient, invalid"
дух,spirit; breath
ниже,"lower, below"
океан,ocean
запас,"stock, supply; reserve"
земной,"earthly, terrestrial"
министерство,ministry (government)
обязательно,"without fail, definitely"
польза,use; benefit
предлагать/предложить (+a +d),"to offer, propose (sth to s.o.)"
создавать/создать (+a),to create
вновь,"anew, again; newly"
зависеть (i) (от +g),to depend (on)
плод,fruit
радио (n) (indecl),radio
разнообразный,"various, varied"
существование,existence
бывший,former
касаться/коснуться (+g),to touch; to concern
никак,in no way; by no means
основание,"foundation, basis; founding"
приказывать/приказать (+d),"to order, command s.o."
родной,"native; own; (as noun, in pl) relatives, relations"
солнечный,"sun, solar; sunny"
стремиться (i) (к +d),to strive (for)
газ,gas
орудие,"instrument; implement; (field) gun, piece of ordnance"
радость (f),joy
том,volume (book)
честный,honest
исследование,investigation; research
ладонь (f),palm (of the hand)
определённый,definite; certain
позиция,position
ради (+g),for the sake of
срок,"period (of time); (last) date, deadline"
слышать/у- (+a),to hear
ухо,ear
шум,"noise, din"
аппарат,apparatus
гораздо,much (with comparatives)
капитал,capital (financial)
плохой,bad
площадь (f),square; area
поезд,train
профессор,professor
серьёзно,seriously
соль (f),salt
сон,sleep; dream
тень (f),shade; shadow
гражданин,citizen
доставать/достать (+a),"to get, obtain; take out; reach"
дурак,fool
ибо,for (because)
лошадь (f),horse
пшеница,wheat
столько (+g),"so much, so many"
эпоха,"epoch, age"
давай(те),let’s (do sth)
беда,misfortune
дальний,"distant, remote"
закрывать/закрыть (+a),"to close, shut; to cover"
звезда,star
обычный,usual
проводить/провести (+a),"to lead, conduct; spend (time)"
разговаривать (i),"to converse, talk"
размер,"size, scale, extent"
разрешать/разрешить (+d of person) ,"to allow, permit; solve"
нечего,there is nothing
атмосфера,atmosphere
лодка,"boat, rowing boat"
название,name; title (book)
правильный,"correct, right"
пустой,empty
сапог,boot; jackboot
скорее,quicker; rather
дальнейший,further
журнал,"magazine, periodical; journal, register"
либо,or
телевизор,television (set)
ракета,rocket
способность (f),ability
академия,academy
впечатление,impression
древний,ancient
иметься (i),"to be, be available"
ожидать (i) (+a or +g),to wait (for); to expect
пароход,steamer
разоружение,disarmament
след,"footprint; trace, vestige"
удар,"blow, strike"
внешний,exterior
нож,knife
грудь (f),breast
крайний,extreme
моряк,sailor
наоборот,"on the contrary, vice versa, the other way round"
передовой,advanced; progressive
принцип,principle
тайна,"secret, mystery"
тихий,"quiet, calm"
устанавливать/установить (+a),"to set up, establish"
электрический,electric
верный,"faithful, correct, reliable, sure"
ворота (nom pl),"gate, gates"
дворец,palace
золото,gold
открытие,opening; discovery
отсюда,from here; hence
специалист,specialist
длина,length
наблюдать (i) (+a),"to observe, watch"
немедленно,"immediately, forthwith"
немецкий,German (adj)
повышение,"rise, increase; promotion"
получаться/получиться,"to turn out, work out, result"
соглашаться/согласиться,"to agree (c +inst) with, (на +a) to"
участие,participation; sympathy
весело,"merrily, cheerfully"
левый,left; left-wing
московский,Moscow (adj)
постоянный,"constant, permanent"
приказ,"command, order"
роман,"novel; love affair, romance"
смех,"laughter, laugh"
твёрдый,"hard, firm, solid"
тон,"tone, musical tone; colour tone, tint"
абсолютно,absolutely
деталь (f),detail; component (of machine)
объём,"volume, capacity, size"
интересно,interestingly; it is interesting
книжка,(small) book
курс,"course, course of study; rate of exchange"
почва,soil
низкий,low
очевидно,obviously
пыль (f),dust
светлый,"light, bright"
серый,grey
анализ,analysis
влияние,influence
молчать/по-,to be silent for a while
руководство,"leadership; guide, manual"
атомный,atomic
граница,frontier; limit
защита,defence
кусок,piece
молчание,silence
наверное,probably
неожиданно,unexpectedly
пара,"pair, couple"
платок,"shawl, kerchief"
практический,practical
предел,limit
стенка,"wall, partition, side"
существо,"essence; being, creature"
тишина,"quiet, silence"
товар,"commodity, article"
вершина,"summit, peak"
взрыв,explosion
виноватый,"guilty, to blame"
вырастать/вырасти,"to grow, increase"
гражданский,"civil, civic"
деятель (m),"agent, figure"
дождь (m),rain
называться/назваться,to be called
невозможно,impossibly; it is impossible
обещать (i/p) (+d),to promise (s.o.)
позволять/позволить (+d),to permit (s.o.)
роль (f),role
сестра,sister
следовательно,"consequently, therefore"
столица,capital (city)
фигура,figure
царь (m),tsar
бедный,poor
верхний,upper
вслед (за +inst),after
изменение,"change, alteration"
носить (i) (+a),to carry (around); wear
особенность (f),"peculiarity, special feature"
рад,glad (short adj)
резко,"sharply, abruptly"
звонок,"bell, ring; telephone call"
испытание,"test, trial; ordeal"
необходимость (f),necessity
обстановка,"environment, situation; furniture"
печать (f),"seal, stamp; print, printing"
повод,"cause, grounds"
постоянно,"constantly, perpetually"
разуметься (i),to be meant
стакан,"glass, tumbler"
точный,"exact, precise"
уезжать/уехать,"to go away, leave (by transport)"
широко,"widely, broadly"
возможный,possible
изучение,(detailed) study (of)
комиссия,"commission, committee"
гектар,"hectare (10,000 square metres, 2.5 acres)"
благодарить/по- (+a; за +a),to thank (s.o. for sth)
блестящий,"shining, bright, brilliant"
вес,weight
врач,doctor
жёлтый,yellow
крик,"cry, shout"
нынче,now (= теперь); today (coll)
обеспечивать/обеспечить (+a +inst),"to supply, provide (s.o. with sth); (+a) assure, guarantee"
поэт,poet
рот,mouth
собака,dog
соседний,"neighbouring, next"
туман,"fog, mist"
капитан,captain
философия,philosophy
доказывать/доказать (+a),"to demonstrate, prove"
здоровье,health
извинять/извинить (+a),to pardon
ошибка,mistake
тотчас,immediately
вагон,"carriage, coach, wagon"
гореть/за-,"to burn, be alight"
далёкий,"distant, remote"
канал,canal; channel
практика,practice
сожаление,regret
укрепление,strengthening
быт,"way of life, everyday life"
делаться/с- (+inst),to become; be done
крыша,roof
недостаток,defect; (+g or в +pr) shortage (of)
отрасль (f),"branch (of science, industry, government, etc.)"
подавать/подать (+a),to give; serve (food); present
поиск,search
порт,port
свидание,"meeting, rendezvous"
требование,demand
черта,"feature, trait; line"
штат,"staff (of institution); state (of the USA, Australia)"
вздыхать/вздохнуть,to sigh
записка,note (written)
озеро,lake
организовать (i/p) (+a),to organize
сознание,consciousness
тепло,warmly; it is warm; warmth
прежний,former
пространство,"space, expanse"
составлять/составить (+a),"to make up, compose, constitute"
спутник,travelling companion; satellite
стрелять (i) (в +a or по +d),to shoot (at)
вдоль (+g),along
встречаться/встретиться (с +inst),to meet (s.o.)
документ,document
мечтать (i) (о +pr),to (day) dream (about)
обычно,usually
продукт,product
секунда,second
сельскохозяйственный,agricultural
странный,strange
братский,"fraternal, brotherly"
доходить/дойти (до +g),to reach (s.o. or sth)
достижение,achievement
заходить/зайти,"(к +d) to call on s.o.; (за +a) go behind, set (of sun)"
мёртвый,dead
могучий,powerful
мотор,"motor, engine"
независимость (f),independence
представление,"presentation; performance; notion, conception"
применение,"application, use"
трудность (f),difficulty
удовольствие,pleasure
узкий,narrow
боец,"fighter, soldier"
жалко,pitifully; it’s a pity; (+g) be sorry for
массовый,mass (adj)
меньше,less
